ID,Date,Game,Earnings,Players,Tournaments
1,1998-01-01,QuakeWorld,15000.0,8,1
2,1998-05-01,Quake II,14600.0,4,1
3,1998-07-01,Quake II,15000.0,5,1
4,1998-07-01,QuakeWorld,6500.0,4,1
5,1998-11-01,Quake II,36600.0,13,2
6,1998-11-01,QuakeWorld,22000.0,0,1
7,1998-11-01,StarCraft: Brood War,20000.0,8,1
8,1998-12-01,Age of Empires,2000.0,1,1
9,1999-03-01,Quake II,15000.0,5,1
10,1999-04-01,StarCraft: Brood War,3000.0,2,1
11,1999-05-01,Quake II,27400.0,8,1
12,1999-05-01,StarCraft: Brood War,27400.0,8,1
13,1999-08-01,Descent 3,50000.0,1,1
14,1999-08-01,StarCraft: Brood War,49498.86,9,2
15,1999-09-01,StarCraft: Brood War,34666.16,15,3
16,1999-09-01,Quake III Arena,16400.0,6,1
17,1999-10-01,Quake III Arena,26800.0,12,1
18,1999-12-01,StarCraft: Brood War,24988.82,16,4
19,2000-01-01,Age of Empires II,35335.86,2,1
20,2000-01-01,StarCraft: Brood War,23820.16,15,3
21,2000-02-01,Quake III Arena,4000.0,3,1
22,2000-02-01,Age of Empires II,450.0,5,1
23,2000-04-01,Quake III Arena,110927.63,43,8
24,2000-04-01,Age of Empires,9500.0,4,1
25,2000-04-01,Age of Empires II,5015.0,1,1
26,2000-05-01,StarCraft: Brood War,17977.49,16,1
27,2000-05-01,Quake III Arena,12300.0,5,2
28,2000-05-01,Age of Empires II,225.0,0,2
29,2000-06-01,Quake III Arena,6970.0,9,2
30,2000-06-01,StarCraft: Brood War,4494.37,1,1
31,2000-06-01,Age of Empires II,1006.8,5,2
32,2000-07-01,Quake III Arena,23170.0,6,2
33,2000-07-01,Marvel vs. Capcom 2,0.0,3,1
34,2000-07-01,Street Fighter Alpha 2,0.0,3,1
35,2000-07-01,Street Fighter Alpha 3,0.0,3,1
36,2000-07-01,Street Fighter III: 3rd Strike,0.0,3,1
37,2000-07-01,Super Street Fighter II Turbo,0.0,3,1
38,2000-08-01,StarCraft: Brood War,12853.9,4,1
39,2000-08-01,Age of Empires II,9192.0,9,3
40,2000-08-01,Quake III Arena,5750.0,3,1
41,2000-09-01,Quake III Arena,52059.98,11,5
